,club_name,club_formatted_name,club_id,league,season,club_age,club_tmv
0,Chelsea FC,fc-chelsea,631,Premier League,2015,24.7,553500000
1,Manchester City,manchester-city,281,Premier League,2015,25.4,499350000
2,Arsenal FC,fc-arsenal,11,Premier League,2015,24.7,457850000
3,Manchester United,manchester-united,985,Premier League,2015,23.5,439850000
4,Liverpool FC,fc-liverpool,31,Premier League,2015,23.4,375250000
5,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2015,23.7,371850000
6,Everton FC,fc-everton,29,Premier League,2015,25.7,249850000
7,Southampton FC,fc-southampton,180,Premier League,2015,25.0,225500000
8,West Ham United,west-ham-united,379,Premier League,2015,24.2,201330000
9,Newcastle United,newcastle-united,762,Premier League,2015,24.5,198000000
10,Leicester City,leicester-city,1003,Premier League,2015,26.9,161100000
11,Stoke City,stoke-city,512,Premier League,2015,27.3,147000000
12,Swansea City,swansea-city,2288,Premier League,2015,25.8,145800000
13,Watford FC,fc-watford,1010,Premier League,2015,27.4,137000000
14,Crystal Palace,crystal-palace,873,Premier League,2015,26.6,135700000
15,Aston Villa,aston-villa,405,Premier League,2015,24.5,117950000
16,Norwich City,norwich-city,1123,Premier League,2015,26.6,116900000
17,West Bromwich Albion,west-bromwich-albion,984,Premier League,2015,26.4,113100000
18,Sunderland AFC,afc-sunderland,289,Premier League,2015,26.5,111250000
19,AFC Bournemouth,afc-bournemouth,989,Premier League,2015,25.1,99900000
20,Chelsea FC,fc-chelsea,631,Premier League,2016,24.8,686700000
21,Manchester City,manchester-city,281,Premier League,2016,26.4,576500000
22,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2016,23.7,543650000
23,Arsenal FC,fc-arsenal,11,Premier League,2016,24.7,542000000
24,Manchester United,manchester-united,985,Premier League,2016,24.4,531450000
25,Liverpool FC,fc-liverpool,31,Premier League,2016,24.4,425650000
26,Everton FC,fc-everton,29,Premier League,2016,25.9,311250000
27,West Ham United,west-ham-united,379,Premier League,2016,24.7,273050000
28,Southampton FC,fc-southampton,180,Premier League,2016,25.3,263750000
29,Crystal Palace,crystal-palace,873,Premier League,2016,26.1,228430000
30,Leicester City,leicester-city,1003,Premier League,2016,26.6,218650000
31,Stoke City,stoke-city,512,Premier League,2016,27.1,186000000
32,Watford FC,fc-watford,1010,Premier League,2016,26.8,175650000
33,Swansea City,swansea-city,2288,Premier League,2016,26.9,157100000
34,Hull City,hull-city,3008,Premier League,2016,26.0,135850000
35,Sunderland AFC,afc-sunderland,289,Premier League,2016,25.3,132000000
36,AFC Bournemouth,afc-bournemouth,989,Premier League,2016,24.4,131600000
37,Middlesbrough FC,fc-middlesbrough,641,Premier League,2016,27.3,128800000
38,West Bromwich Albion,west-bromwich-albion,984,Premier League,2016,27.3,123200000
39,Burnley FC,fc-burnley,1132,Premier League,2016,26.6,107180000
40,Manchester City,manchester-city,281,Premier League,2017,25.1,1010000000
41,Chelsea FC,fc-chelsea,631,Premier League,2017,24.7,884250000
42,Liverpool FC,fc-liverpool,31,Premier League,2017,24.9,857500000
43,Manchester United,manchester-united,985,Premier League,2017,26.1,849500000
44,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2017,24.7,829600000
45,Arsenal FC,fc-arsenal,11,Premier League,2017,24.8,694000000
46,Everton FC,fc-everton,29,Premier League,2017,24.9,381250000
47,Leicester City,leicester-city,1003,Premier League,2017,26.5,304250000
48,Southampton FC,fc-southampton,180,Premier League,2017,25.8,297000000
49,West Ham United,west-ham-united,379,Premier League,2017,25.3,260600000
50,Crystal Palace,crystal-palace,873,Premier League,2017,25.8,220730000
51,Newcastle United,newcastle-united,762,Premier League,2017,25.4,208280000
52,Watford FC,fc-watford,1010,Premier League,2017,26.8,196000000
53,Stoke City,stoke-city,512,Premier League,2017,26.2,192450000
54,Burnley FC,fc-burnley,1132,Premier League,2017,27.8,169300000
55,West Bromwich Albion,west-bromwich-albion,984,Premier League,2017,26.5,165950000
56,Swansea City,swansea-city,2288,Premier League,2017,26.3,165490000
57,Brighton & Hove Albion,brighton-amp-hove-albion,1237,Premier League,2017,26.7,148200000
58,AFC Bournemouth,afc-bournemouth,989,Premier League,2017,26.0,144500000
59,Huddersfield Town,huddersfield-town,1110,Premier League,2017,25.6,106050000
60,Manchester City,manchester-city,281,Premier League,2018,24.3,1200000000
61,Liverpool FC,fc-liverpool,31,Premier League,2018,24.7,1170000000
62,Chelsea FC,fc-chelsea,631,Premier League,2018,25.6,1170000000
63,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2018,25.4,898600000
64,Manchester United,manchester-united,985,Premier League,2018,25.3,797600000
65,Arsenal FC,fc-arsenal,11,Premier League,2018,24.9,659050000
66,Everton FC,fc-everton,29,Premier League,2018,26.0,529100000
67,Leicester City,leicester-city,1003,Premier League,2018,26.4,434100000
68,West Ham United,west-ham-united,379,Premier League,2018,26.6,359000000
69,AFC Bournemouth,afc-bournemouth,989,Premier League,2018,25.7,310000000
70,Southampton FC,fc-southampton,180,Premier League,2018,24.9,305400000
71,Wolverhampton Wanderers,wolverhampton-wanderers,543,Premier League,2018,24.1,302900000
72,Crystal Palace,crystal-palace,873,Premier League,2018,26.4,289000000
73,Fulham FC,fc-fulham,931,Premier League,2018,25.7,254250000
74,Newcastle United,newcastle-united,762,Premier League,2018,26.0,244650000
75,Watford FC,fc-watford,1010,Premier League,2018,26.2,239100000
76,Burnley FC,fc-burnley,1132,Premier League,2018,28.1,197250000
77,Brighton & Hove Albion,brighton-amp-hove-albion,1237,Premier League,2018,25.8,194350000
78,Huddersfield Town,huddersfield-town,1110,Premier League,2018,25.3,137450000
79,Cardiff City,cardiff-city,603,Premier League,2018,27.3,113000000
80,Manchester City,manchester-city,281,Premier League,2019,25.1,1050000000
81,Liverpool FC,fc-liverpool,31,Premier League,2019,23.3,1000000000
82,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2019,24.8,806800000
83,Chelsea FC,fc-chelsea,631,Premier League,2019,24.1,705850000
84,Manchester United,manchester-united,985,Premier League,2019,23.9,670450000
85,Arsenal FC,fc-arsenal,11,Premier League,2019,24.3,607650000
86,Everton FC,fc-everton,29,Premier League,2019,26.0,420550000
87,Leicester City,leicester-city,1003,Premier League,2019,25.9,411100000
88,Wolverhampton Wanderers,wolverhampton-wanderers,543,Premier League,2019,23.1,320330000
89,West Ham United,west-ham-united,379,Premier League,2019,26.5,303600000
90,AFC Bournemouth,afc-bournemouth,989,Premier League,2019,24.8,272180000
91,Newcastle United,newcastle-united,762,Premier League,2019,26.0,252480000
92,Aston Villa,aston-villa,405,Premier League,2019,25.7,231700000
93,Southampton FC,fc-southampton,180,Premier League,2019,24.4,210750000
94,Brighton & Hove Albion,brighton-amp-hove-albion,1237,Premier League,2019,24.7,200780000
95,Watford FC,fc-watford,1010,Premier League,2019,25.7,199600000
96,Crystal Palace,crystal-palace,873,Premier League,2019,26.8,189330000
97,Burnley FC,fc-burnley,1132,Premier League,2019,26.3,163880000
98,Norwich City,norwich-city,1123,Premier League,2019,25.5,145330000
99,Sheffield United,sheffield-united,350,Premier League,2019,27.3,138600000
100,Manchester City,manchester-city,281,Premier League,2020,24.9,1040000000
101,Liverpool FC,fc-liverpool,31,Premier League,2020,24.4,969650000
102,Chelsea FC,fc-chelsea,631,Premier League,2020,25.2,889200000
103,Manchester United,manchester-united,985,Premier League,2020,24.9,770050000
104,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2020,24.6,703500000
105,Arsenal FC,fc-arsenal,11,Premier League,2020,24.4,619250000
106,Everton FC,fc-everton,29,Premier League,2020,24.7,511200000
107,Leicester City,leicester-city,1003,Premier League,2020,25.3,510700000
108,Wolverhampton Wanderers,wolverhampton-wanderers,543,Premier League,2020,23.9,450300000
109,Aston Villa,aston-villa,405,Premier League,2020,23.3,430750000
110,West Ham United,west-ham-united,379,Premier League,2020,26.5,334900000
111,Brighton & Hove Albion,brighton-amp-hove-albion,1237,Premier League,2020,24.3,290400000
112,Southampton FC,fc-southampton,180,Premier League,2020,24.5,282800000
113,Newcastle United,newcastle-united,762,Premier League,2020,26.9,255350000
114,Fulham FC,fc-fulham,931,Premier League,2020,26.4,239750000
115,Leeds United,leeds-united,399,Premier League,2020,24.5,238100000
116,Crystal Palace,crystal-palace,873,Premier League,2020,27.7,193850000
117,Sheffield United,sheffield-united,350,Premier League,2020,24.9,149850000
118,West Bromwich Albion,west-bromwich-albion,984,Premier League,2020,26.1,141150000
119,Burnley FC,fc-burnley,1132,Premier League,2020,26.6,132300000
120,Manchester City,manchester-city,281,Premier League,2021,24.3,1000000000
121,Liverpool FC,fc-liverpool,31,Premier League,2021,24.0,918900000
122,Chelsea FC,fc-chelsea,631,Premier League,2021,25.1,914500000
123,Manchester United,manchester-united,985,Premier League,2021,25.5,769150000
124,Tottenham Hotspur,tottenham-hotspur,148,Premier League,2021,23.5,689350000
125,Arsenal FC,fc-arsenal,11,Premier League,2021,23.4,613050000
126,Leicester City,leicester-city,1003,Premier League,2021,25.1,526550000
127,Aston Villa,aston-villa,405,Premier League,2021,24.2,487750000
128,Everton FC,fc-everton,29,Premier League,2021,25.5,479050000
129,Wolverhampton Wanderers,wolverhampton-wanderers,543,Premier League,2021,24.4,376950000
130,West Ham United,west-ham-united,379,Premier League,2021,26.0,354900000
131,Brighton & Hove Albion,brighton-amp-hove-albion,1237,Premier League,2021,24.1,318000000
132,Newcastle United,newcastle-united,762,Premier League,2021,27.4,313900000
133,Leeds United,leeds-united,399,Premier League,2021,23.5,299450000
134,Southampton FC,fc-southampton,180,Premier League,2021,25.1,274300000
135,Brentford FC,fc-brentford,1148,Premier League,2021,24.3,273300000
136,Crystal Palace,crystal-palace,873,Premier League,2021,25.9,271050000
137,Norwich City,norwich-city,1123,Premier League,2021,24.2,163200000
138,Watford FC,fc-watford,1010,Premier League,2021,25.8,156200000
139,Burnley FC,fc-burnley,1132,Premier League,2021,27.3,138050000
140,FC Barcelona,fc-barcelona,131,LaLiga,2015,25.9,726000000
141,Real Madrid,real-madrid,418,LaLiga,2015,24.8,714300000
142,Atlético de Madrid,atletico-madrid,13,LaLiga,2015,25.4,418500000
143,Valencia CF,fc-valencia,1049,LaLiga,2015,23.7,254000000
144,Sevilla FC,fc-sevilla,368,LaLiga,2015,25.8,230300000
145,Athletic Bilbao,athletic-bilbao,621,LaLiga,2015,27.0,148000000
146,Villarreal CF,fc-villarreal,1050,LaLiga,2015,25.4,140600000
147,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2015,25.5,119400000
148,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2015,24.6,91100000
149,Málaga CF,fc-malaga,1084,LaLiga,2015,27.0,77950000
150,Granada CF,fc-granada,16795,LaLiga,2015,25.9,71500000
151,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2015,25.0,62200000
152,Deportivo de La Coruña,deportivo-la-coruna,897,LaLiga,2015,28.2,61750000
153,SD Eibar,sd-eibar,1533,LaLiga,2015,25.8,56600000
154,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2015,26.9,56400000
155,Sporting Gijón,sporting-gijon,2448,LaLiga,2015,24.7,53200000
156,Levante UD,ud-levante,3368,LaLiga,2015,27.3,53100000
157,Rayo Vallecano,rayo-vallecano,367,LaLiga,2015,28.0,49600000
158,Getafe CF,fc-getafe,3709,LaLiga,2015,25.7,49100000
159,UD Las Palmas,ud-las-palmas,472,LaLiga,2015,27.2,32200000
160,Real Madrid,real-madrid,418,LaLiga,2016,25.7,802900000
161,FC Barcelona,fc-barcelona,131,LaLiga,2016,25.8,765300000
162,Atlético de Madrid,atletico-madrid,13,LaLiga,2016,24.7,515800000
163,Sevilla FC,fc-sevilla,368,LaLiga,2016,25.6,270100000
164,Valencia CF,fc-valencia,1049,LaLiga,2016,24.9,257500000
165,Villarreal CF,fc-villarreal,1050,LaLiga,2016,25.9,190700000
166,Athletic Bilbao,athletic-bilbao,621,LaLiga,2016,26.9,172600000
167,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2016,25.8,156450000
168,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2016,25.4,122400000
169,Deportivo de La Coruña,deportivo-la-coruna,897,LaLiga,2016,26.8,94000000
170,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2016,25.3,85400000
171,Málaga CF,fc-malaga,1084,LaLiga,2016,26.0,84300000
172,UD Las Palmas,ud-las-palmas,472,LaLiga,2016,26.7,84300000
173,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2016,26.3,84200000
174,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2016,27.3,80800000
175,SD Eibar,sd-eibar,1533,LaLiga,2016,25.9,67950000
176,Granada CF,fc-granada,16795,LaLiga,2016,25.2,66450000
177,CD Leganés,cd-leganes,1244,LaLiga,2016,26.1,53150000
178,Sporting Gijón,sporting-gijon,2448,LaLiga,2016,25.8,46750000
179,CA Osasuna,ca-osasunasaison_id,331,LaLiga,2016,25.5,42900000
180,FC Barcelona,fc-barcelona,131,LaLiga,2017,26.3,1090000000
181,Real Madrid,real-madrid,418,LaLiga,2017,24.5,955350000
182,Atlético de Madrid,atletico-madrid,13,LaLiga,2017,25.4,711150000
183,Valencia CF,fc-valencia,1049,LaLiga,2017,24.3,398050000
184,Sevilla FC,fc-sevilla,368,LaLiga,2017,26.5,253200000
185,Athletic Bilbao,athletic-bilbao,621,LaLiga,2017,25.9,249400000
186,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2017,26.3,232950000
187,Villarreal CF,fc-villarreal,1050,LaLiga,2017,25.4,220000000
188,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2017,24.5,173050000
189,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2017,25.9,132250000
190,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2017,27.3,97800000
191,UD Las Palmas,ud-las-palmas,472,LaLiga,2017,26.9,91250000
192,Girona FC,fc-girona,12321,LaLiga,2017,25.4,81750000
193,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2017,25.1,74800000
194,Deportivo de La Coruña,deportivo-la-coruna,897,LaLiga,2017,26.8,66450000
195,Getafe CF,fc-getafe,3709,LaLiga,2017,26.6,65600000
196,Levante UD,ud-levante,3368,LaLiga,2017,25.2,61850000
197,SD Eibar,sd-eibar,1533,LaLiga,2017,26.8,60050000
198,CD Leganés,cd-leganes,1244,LaLiga,2017,26.8,58550000
199,Málaga CF,fc-malaga,1084,LaLiga,2017,25.8,55200000
200,FC Barcelona,fc-barcelona,131,LaLiga,2018,24.7,1160000000
201,Atlético de Madrid,atletico-madrid,13,LaLiga,2018,24.2,969700000
202,Real Madrid,real-madrid,418,LaLiga,2018,24.7,896100000
203,Valencia CF,fc-valencia,1049,LaLiga,2018,24.8,499650000
204,Sevilla FC,fc-sevilla,368,LaLiga,2018,26.1,306300000
205,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2018,24.1,300950000
206,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2018,25.4,290750000
207,Athletic Bilbao,athletic-bilbao,621,LaLiga,2018,26.8,234250000
208,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2018,25.3,234100000
209,Villarreal CF,fc-villarreal,1050,LaLiga,2018,27.5,230650000
210,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2018,26.8,174700000
211,Getafe CF,fc-getafe,3709,LaLiga,2018,27.3,132200000
212,CD Leganés,cd-leganes,1244,LaLiga,2018,25.9,112450000
213,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2018,25.9,110800000
214,Levante UD,ud-levante,3368,LaLiga,2018,25.8,107850000
215,Girona FC,fc-girona,12321,LaLiga,2018,25.9,97250000
216,SD Eibar,sd-eibar,1533,LaLiga,2018,27.6,93900000
217,Rayo Vallecano,rayo-vallecano,367,LaLiga,2018,26.2,86700000
218,Real Valladolid CF,real-valladolid,366,LaLiga,2018,25.1,83000000
219,SD Huesca,sd-huesca,5358,LaLiga,2018,26.7,61400000
220,FC Barcelona,fc-barcelona,131,LaLiga,2019,24.2,930280000
221,Real Madrid,real-madrid,418,LaLiga,2019,25.6,913750000
222,Atlético de Madrid,atletico-madrid,13,LaLiga,2019,24.8,720150000
223,Valencia CF,fc-valencia,1049,LaLiga,2019,25.5,427800000
224,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2019,24.5,347550000
225,Sevilla FC,fc-sevilla,368,LaLiga,2019,25.7,294750000
226,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2019,25.0,244350000
227,Athletic Bilbao,athletic-bilbao,621,LaLiga,2019,26.3,211750000
228,Villarreal CF,fc-villarreal,1050,LaLiga,2019,26.4,208680000
229,Getafe CF,fc-getafe,3709,LaLiga,2019,28.0,175450000
230,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2019,24.9,167000000
231,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2019,25.8,156050000
232,CD Leganés,cd-leganes,1244,LaLiga,2019,25.3,109700000
233,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2019,26.1,106750000
234,Levante UD,ud-levante,3368,LaLiga,2019,26.5,90500000
235,Real Valladolid CF,real-valladolid,366,LaLiga,2019,25.6,87780000
236,RCD Mallorca,rcd-mallorca,237,LaLiga,2019,26.4,64680000
237,CA Osasuna,ca-osasunasaison_id,331,LaLiga,2019,26.4,62780000
238,Granada CF,fc-granada,16795,LaLiga,2019,25.9,56580000
239,SD Eibar,sd-eibar,1533,LaLiga,2019,28.3,53750000
240,FC Barcelona,fc-barcelona,131,LaLiga,2020,25.1,813500000
241,Real Madrid,real-madrid,418,LaLiga,2020,24.8,787300000
242,Atlético de Madrid,atletico-madrid,13,LaLiga,2020,24.9,773100000
243,Sevilla FC,fc-sevilla,368,LaLiga,2020,25.6,418250000
244,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2020,24.7,406600000
245,Villarreal CF,fc-villarreal,1050,LaLiga,2020,25.9,292600000
246,Valencia CF,fc-valencia,1049,LaLiga,2020,24.7,278850000
247,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2020,26.8,207700000
248,Athletic Bilbao,athletic-bilbao,621,LaLiga,2020,25.9,204150000
249,Getafe CF,fc-getafe,3709,LaLiga,2020,25.4,170100000
250,Celta de Vigo,celta-vigosaison_id,940,LaLiga,2020,24.3,155850000
251,Granada CF,fc-granada,16795,LaLiga,2020,24.9,122650000
252,Levante UD,ud-levante,3368,LaLiga,2020,26.5,113000000
253,CA Osasuna,ca-osasunasaison_id,331,LaLiga,2020,27.0,96750000
254,SD Eibar,sd-eibar,1533,LaLiga,2020,27.1,83400000
255,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2020,25.6,79800000
256,SD Huesca,sd-huesca,5358,LaLiga,2020,26.5,64100000
257,Real Valladolid CF,real-valladolid,366,LaLiga,2020,26.6,63350000
258,Cádiz CF,fc-cadiz,2687,LaLiga,2020,27.2,47650000
259,Elche CF,fc-elche,1531,LaLiga,2020,26.7,45650000
260,Real Madrid,real-madrid,418,LaLiga,2021,25.7,770750000
261,FC Barcelona,fc-barcelona,131,LaLiga,2021,25.1,735600000
262,Atlético de Madrid,atletico-madrid,13,LaLiga,2021,25.3,661800000
263,Villarreal CF,fc-villarreal,1050,LaLiga,2021,26.0,408900000
264,Sevilla FC,fc-sevilla,368,LaLiga,2021,25.7,385000000
265,Real Sociedad,real-sociedad-san-sebastian,681,LaLiga,2021,24.7,376950000
266,Valencia CF,fc-valencia,1049,LaLiga,2021,23.6,310600000
267,Real Betis Balompié,real-betis-sevilla,150,LaLiga,2021,27.4,259000000
268,Athletic Bilbao,athletic-bilbao,621,LaLiga,2021,25.7,226050000
269,Getafe CF,fc-getafe,3709,LaLiga,2021,25.2,208680000
270,RCD Espanyol Barcelona,espanyol-barcelona,714,LaLiga,2021,25.4,131600000
271,Celta de Vigo,celta-vigo,940,LaLiga,2021,25.5,120000000
272,CA Osasuna,ca-osasuna,331,LaLiga,2021,26.9,108450000
273,Granada CF,fc-granada,16795,LaLiga,2021,26.5,103750000
274,Levante UD,ud-levante,3368,LaLiga,2021,26.3,77900000
275,RCD Mallorca,rcd-mallorca,237,LaLiga,2021,25.7,74150000
276,Elche CF,fc-elche,1531,LaLiga,2021,27.4,72980000
277,Cádiz CF,fc-cadiz,2687,LaLiga,2021,27.3,67800000
278,Rayo Vallecano,rayo-vallecano,367,LaLiga,2021,26.2,67200000
279,Deportivo Alavés,deportivo-alaves,1108,LaLiga,2021,25.1,65350000
280,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2015,25.9,596050000
281,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2015,24.9,352950000
282,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2015,25.5,270430000
283,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2015,24.2,241300000
284,FC Schalke 04,fc-schalke-04,33,Bundesliga,2015,24.9,225200000
285,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2015,25.4,186150000
286,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2015,24.9,90200000
287,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2015,25.3,85150000
288,VfB Stuttgart,vfb-stuttgart,79,Bundesliga,2015,24.8,81180000
289,Hertha BSC,hertha-bsc,44,Bundesliga,2015,25.3,78930000
290,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2015,24.9,76600000
291,FC Augsburg,fc-augsburg,167,Bundesliga,2015,25.9,75830000
292,1.FC Köln,1-fc-koln,3,Bundesliga,2015,25.0,68630000
293,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2015,24.6,64680000
294,Hamburger SV,hamburger-sv,41,Bundesliga,2015,25.8,63200000
295,Hannover 96,hannover-96,42,Bundesliga,2015,24.6,60830000
296,FC Ingolstadt 04,fc-ingolstadt-04,4795,Bundesliga,2015,25.2,35650000
297,SV Darmstadt 98,sv-darmstadt-98,105,Bundesliga,2015,27.3,25150000
298,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2016,26.1,562550000
299,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2016,25.2,390650000
300,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2016,23.8,265030000
301,FC Schalke 04,fc-schalke-04,33,Bundesliga,2016,24.7,217250000
302,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2016,24.5,203080000
303,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2016,23.6,176330000
304,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2016,24.4,162180000
305,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2016,24.5,138630000
306,1.FC Köln,1-fc-koln,3,Bundesliga,2016,25.4,116150000
307,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2016,24.3,96730000
308,Hertha BSC,hertha-bsc,44,Bundesliga,2016,25.0,96530000
309,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2016,25.5,89450000
310,SC Freiburg,sc-freiburg,60,Bundesliga,2016,25.0,86730000
311,Hamburger SV,hamburger-sv,41,Bundesliga,2016,24.6,80480000
312,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2016,24.1,72300000
313,FC Augsburg,fc-augsburg,167,Bundesliga,2016,26.3,65850000
314,FC Ingolstadt 04,fc-ingolstadt-04,4795,Bundesliga,2016,24.8,38630000
315,SV Darmstadt 98,sv-darmstadt-98,105,Bundesliga,2016,26.7,25980000
316,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2017,24.7,811850000
317,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2017,25.0,574200000
318,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2017,24.1,373300000
319,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2017,25.3,357350000
320,FC Schalke 04,fc-schalke-04,33,Bundesliga,2017,25.5,274350000
321,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2017,24.1,212750000
322,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2017,24.6,193250000
323,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2017,24.3,143600000
324,VfB Stuttgart,vfb-stuttgart,79,Bundesliga,2017,24.7,134700000
325,Hertha BSC,hertha-bsc,44,Bundesliga,2017,24.9,131450000
326,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2017,25.0,126150000
327,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2017,25.6,107150000
328,SC Freiburg,sc-freiburg,60,Bundesliga,2017,25.5,100600000
329,FC Augsburg,fc-augsburg,167,Bundesliga,2017,25.6,100450000
330,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2017,25.3,98350000
