,club_name,club_formatted_name,club_id,league,season,club_age,club_tmv
331,Hannover 96,hannover-96,42,Bundesliga,2017,25.9,92950000
332,1.FC Köln,1-fc-koln,3,Bundesliga,2017,24.5,91730000
333,Hamburger SV,hamburger-sv,41,Bundesliga,2017,24.5,62400000
334,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2018,25.7,784880000
335,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2018,24.4,643250000
336,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2018,22.6,479000000
337,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2018,24.6,429400000
338,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2018,24.4,336250000
339,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2018,24.8,313400000
340,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2018,25.2,264300000
341,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2018,25.1,229250000
342,FC Schalke 04,fc-schalke-04,33,Bundesliga,2018,25.1,221300000
343,Hertha BSC,hertha-bsc,44,Bundesliga,2018,24.4,207630000
344,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2018,25.8,168050000
345,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2018,24.7,159730000
346,VfB Stuttgart,vfb-stuttgart,79,Bundesliga,2018,24.9,143750000
347,FC Augsburg,fc-augsburg,167,Bundesliga,2018,24.9,139250000
348,SC Freiburg,sc-freiburg,60,Bundesliga,2018,25.0,122100000
349,Fortuna Düsseldorf,fortuna-dusseldorf,38,Bundesliga,2018,26.3,94950000
350,Hannover 96,hannover-96,42,Bundesliga,2018,25.7,91430000
351,1.FC Nuremberg,1-fc-nurnberg,4,Bundesliga,2018,25.2,54400000
352,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2019,23.7,777330000
353,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2019,24.5,654050000
354,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2019,23.0,570480000
355,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2019,25.1,398950000
356,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2019,25.8,254700000
357,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2019,26.3,226050000
358,FC Schalke 04,fc-schalke-04,33,Bundesliga,2019,24.2,221580000
359,Hertha BSC,hertha-bsc,44,Bundesliga,2019,24.2,217200000
360,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2019,26.4,208980000
361,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2019,24.7,207600000
362,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2019,26.2,135130000
363,SC Freiburg,sc-freiburg,60,Bundesliga,2019,25.8,122650000
364,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2019,23.9,121580000
365,FC Augsburg,fc-augsburg,167,Bundesliga,2019,25.4,112950000
366,1.FC Köln,1-fc-koln,3,Bundesliga,2019,25.3,98480000
367,Fortuna Düsseldorf,fortuna-dusseldorf,38,Bundesliga,2019,26.2,71780000
368,1.FC Union Berlin,1-fc-union-berlin,89,Bundesliga,2019,26.2,41200000
369,SC Paderborn 07,sc-paderborn-07,127,Bundesliga,2019,25.3,28900000
370,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2020,23.9,858230000
371,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2020,25.0,628400000
372,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2020,23.7,574950000
373,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2020,25.0,373250000
374,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2020,25.7,300750000
375,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2020,25.6,269150000
376,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2020,26.0,256830000
377,Hertha BSC,hertha-bsc,44,Bundesliga,2020,24.4,228880000
378,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2020,25.1,228150000
379,VfB Stuttgart,vfb-stuttgart,79,Bundesliga,2020,23.8,189250000
380,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2020,24.9,163300000
381,SC Freiburg,sc-freiburg,60,Bundesliga,2020,25.2,139100000
382,FC Schalke 04,fc-schalke-04,33,Bundesliga,2020,24.8,123050000
383,1.FC Köln,1-fc-koln,3,Bundesliga,2020,24.9,118200000
384,SV Werder Bremen,sv-werder-bremen,86,Bundesliga,2020,25.2,111980000
385,FC Augsburg,fc-augsburg,167,Bundesliga,2020,25.8,93050000
386,1.FC Union Berlin,1-fc-union-berlin,89,Bundesliga,2020,25.8,82050000
387,Arminia Bielefeld,arminia-bielefeld,10,Bundesliga,2020,24.9,56730000
388,Bayern Munich,fc-bayern-munchen,27,Bundesliga,2021,24.7,790330000
389,Borussia Dortmund,borussia-dortmund,16,Bundesliga,2021,23.9,558980000
390,RB Leipzig,rasenballsport-leipzig,23826,Bundesliga,2021,23.9,498950000
391,Bayer 04 Leverkusen,bayer-04-leverkusen,15,Bundesliga,2021,24.6,455050000
392,VfL Wolfsburg,vfl-wolfsburg,82,Bundesliga,2021,25.3,269300000
393,Borussia Mönchengladbach,borussia-monchengladbach,18,Bundesliga,2021,25.4,236800000
394,Eintracht Frankfurt,eintracht-frankfurt,24,Bundesliga,2021,25.2,228750000
395,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,533,Bundesliga,2021,24.9,211430000
396,SC Freiburg,sc-freiburg,60,Bundesliga,2021,25.0,176350000
397,VfB Stuttgart,vfb-stuttgart,79,Bundesliga,2021,23.5,174230000
398,Hertha BSC,hertha-bsc,44,Bundesliga,2021,24.7,155730000
399,1.FSV Mainz 05,1-fsv-mainz-05,39,Bundesliga,2021,24.9,131030000
400,1.FC Union Berlin,1-fc-union-berlin,89,Bundesliga,2021,26.6,115900000
401,1.FC Köln,1-fc-koln,3,Bundesliga,2021,25.4,99280000
402,FC Augsburg,fc-augsburg,167,Bundesliga,2021,25.5,95300000
403,Arminia Bielefeld,arminia-bielefeld,10,Bundesliga,2021,24.6,65850000
404,VfL Bochum,vfl-bochum,80,Bundesliga,2021,27.3,52250000
405,SpVgg Greuther Fürth,spvgg-greuther-furth,65,Bundesliga,2021,24.6,36950000
406,Juventus FC,juventus-turin,506,Serie A,2015,25.5,440000000
407,AS Roma,as-rom,12,Serie A,2015,24.7,332900000
408,SSC Napoli,ssc-neapel,6195,Serie A,2015,25.9,321930000
409,Inter Milan,inter-mailand,46,Serie A,2015,25.2,294280000
410,AC Milan,ac-mailand,5,Serie A,2015,25.5,213830000
411,ACF Fiorentina,ac-florenz,430,Serie A,2015,26.1,190530000
412,SS Lazio,lazio-rom,398,Serie A,2015,25.7,175300000
413,UC Sampdoria,sampdoria-genua,1038,Serie A,2015,26.0,126530000
414,Genoa CFC,genua-cfc,252,Serie A,2015,24.2,117550000
415,US Sassuolo,us-sassuolo,6574,Serie A,2015,24.7,97000000
416,Udinese Calcio,udinese-calcio,410,Serie A,2015,26.3,93000000
417,Torino FC,fc-turin,416,Serie A,2015,25.7,89830000
418,Atalanta BC,atalanta-bergamo,800,Serie A,2015,26.8,78450000
419,Bologna FC 1909,fc-bologna,1025,Serie A,2015,25.7,75230000
420,Empoli FC,fc-empoli,749,Serie A,2015,24.1,74600000
421,US Palermo,palermo-fc,458,Serie A,2015,24.5,68680000
422,Carpi FC 1909,carpi-fc-19092,4102,Serie A,2015,25.9,52050000
423,Chievo Verona,chievo-verona,862,Serie A,2015,27.5,49780000
424,Hellas Verona,hellas-verona,276,Serie A,2015,25.9,47730000
425,Frosinone Calcio,frosinone-calcio,8970,Serie A,2015,26.2,38300000
426,Juventus FC,juventus-turin,506,Serie A,2016,26.2,497180000
427,SSC Napoli,ssc-neapel,6195,Serie A,2016,25.7,387300000
428,AS Roma,as-rom,12,Serie A,2016,23.7,354680000
429,Inter Milan,inter-mailand,46,Serie A,2016,25.4,328300000
430,AC Milan,ac-mailand,5,Serie A,2016,24.9,254330000
431,SS Lazio,lazio-rom,398,Serie A,2016,23.7,226450000
432,ACF Fiorentina,ac-florenz,430,Serie A,2016,24.1,217080000
433,Torino FC,fc-turin,416,Serie A,2016,24.3,162350000
434,Atalanta BC,atalanta-bergamo,800,Serie A,2016,25.5,161700000
435,US Sassuolo,us-sassuolo,6574,Serie A,2016,24.5,145250000
436,UC Sampdoria,sampdoria-genua,1038,Serie A,2016,24.7,117580000
437,Genoa CFC,genua-cfc,252,Serie A,2016,25.8,108180000
438,Udinese Calcio,udinese-calcio,410,Serie A,2016,24.5,101950000
439,Bologna FC 1909,fc-bologna,1025,Serie A,2016,24.7,95000000
440,Cagliari Calcio,cagliari-calcio,1390,Serie A,2016,24.7,61080000
441,Empoli FC,fc-empoli,749,Serie A,2016,24.5,55450000
442,Delfino Pescara 1936,delfino-pescara-1936,2921,Serie A,2016,24.7,48100000
443,Chievo Verona,chievo-verona,862,Serie A,2016,26.3,45880000
444,US Palermo,palermo-fc,458,Serie A,2016,24.4,41100000
445,FC Crotone,fc-crotone,4083,Serie A,2016,25.0,36700000
446,Juventus FC,juventus-turin,506,Serie A,2017,26.6,653150000
447,SSC Napoli,ssc-neapel,6195,Serie A,2017,25.2,504250000
448,Inter Milan,inter-mailand,46,Serie A,2017,25.9,487280000
449,AS Roma,as-rom,12,Serie A,2017,23.7,469100000
450,SS Lazio,lazio-rom,398,Serie A,2017,24.8,408780000
451,AC Milan,ac-mailand,5,Serie A,2017,24.5,407050000
452,ACF Fiorentina,ac-florenz,430,Serie A,2017,23.8,237330000
453,Atalanta BC,atalanta-bergamo,800,Serie A,2017,23.6,207950000
454,UC Sampdoria,sampdoria-genua,1038,Serie A,2017,24.6,190450000
455,Torino FC,fc-turin,416,Serie A,2017,23.8,175530000
456,Genoa CFC,genua-cfc,252,Serie A,2017,26.0,135130000
457,US Sassuolo,us-sassuolo,6574,Serie A,2017,25.0,126780000
458,Udinese Calcio,udinese-calcio,410,Serie A,2017,24.0,108030000
459,Bologna FC 1909,fc-bologna,1025,Serie A,2017,25.3,103550000
460,Cagliari Calcio,cagliari-calcio,1390,Serie A,2017,25.4,98580000
461,SPAL 2013,spal,2722,Serie A,2017,25.4,63550000
462,Benevento Calcio,benevento-calcio,4171,Serie A,2017,25.1,57830000
463,Hellas Verona,hellas-verona,276,Serie A,2017,25.5,56500000
464,Chievo Verona,chievo-verona,862,Serie A,2017,27.4,55230000
465,FC Crotone,fc-crotone,4083,Serie A,2017,24.1,47880000
466,Juventus FC,juventus-turin,506,Serie A,2018,25.0,871050000
467,SSC Napoli,ssc-neapel,6195,Serie A,2018,24.3,646800000
468,Inter Milan,inter-mailand,46,Serie A,2018,24.0,617930000
469,AC Milan,ac-mailand,5,Serie A,2018,24.4,578480000
470,AS Roma,as-rom,12,Serie A,2018,23.7,459050000
471,Atalanta BC,atalanta-bergamo,800,Serie A,2018,22.7,367680000
472,ACF Fiorentina,ac-florenz,430,Serie A,2018,22.9,315330000
473,SS Lazio,lazio-rom,398,Serie A,2018,24.4,291150000
474,US Sassuolo,us-sassuolo,6574,Serie A,2018,23.8,242050000
475,Torino FC,fc-turin,416,Serie A,2018,23.7,239230000
476,UC Sampdoria,sampdoria-genua,1038,Serie A,2018,23.5,216750000
477,Udinese Calcio,udinese-calcio,410,Serie A,2018,24.7,201200000
478,Genoa CFC,genua-cfc,252,Serie A,2018,23.8,191730000
479,Cagliari Calcio,cagliari-calcio,1390,Serie A,2018,25.9,155380000
480,Bologna FC 1909,fc-bologna,1025,Serie A,2018,25.0,119680000
481,Empoli FC,fc-empoli,749,Serie A,2018,24.1,105600000
482,SPAL,spal,2722,Serie A,2018,25.3,97400000
483,Parma Calcio 1913,parma-calcio-1913,130,Serie A,2018,25.6,95750000
484,Chievo Verona,chievo-verona,862,Serie A,2018,24.7,54700000
485,Frosinone Calcio,frosinone-calcio,8970,Serie A,2018,25.8,54530000
486,Juventus FC,juventus-turin,506,Serie A,2019,26.8,661880000
487,Inter Milan,inter-mailand,46,Serie A,2019,26.7,606050000
488,SSC Napoli,ssc-neapel,6195,Serie A,2019,26.7,548280000
489,AC Milan,ac-mailand,5,Serie A,2019,25.2,404330000
490,AS Roma,as-rom,12,Serie A,2019,25.6,392730000
491,SS Lazio,lazio-rom,398,Serie A,2019,26.1,303880000
492,ACF Fiorentina,ac-florenz,430,Serie A,2019,24.7,302230000
493,Atalanta BC,atalanta-bergamo,800,Serie A,2019,24.9,291430000
494,US Sassuolo,us-sassuolo,6574,Serie A,2019,24.3,167980000
495,Cagliari Calcio,cagliari-calcio,1390,Serie A,2019,25.8,167830000
496,Torino FC,fc-turin,416,Serie A,2019,24.7,163550000
497,Genoa CFC,genua-cfc,252,Serie A,2019,26.2,142380000
498,UC Sampdoria,sampdoria-genua,1038,Serie A,2019,25.1,135280000
499,Bologna FC 1909,fc-bologna,1025,Serie A,2019,24.5,129650000
500,Parma Calcio 1913,parma-calcio-1913,130,Serie A,2019,26.1,128750000
501,Udinese Calcio,udinese-calcio,410,Serie A,2019,24.9,121080000
502,Hellas Verona,hellas-verona,276,Serie A,2019,25.0,112530000
503,Brescia Calcio,brescia-calcio,19,Serie A,2019,25.9,83230000
504,SPAL,spal,2722,Serie A,2019,25.6,73630000
505,US Lecce,us-lecce,1005,Serie A,2019,25.0,52330000
506,Inter Milan,inter-mailand,46,Serie A,2020,25.2,663900000
507,Juventus FC,juventus-turin,506,Serie A,2020,24.7,633300000
508,AC Milan,ac-mailand,5,Serie A,2020,23.9,547780000
509,SSC Napoli,ssc-neapel,6195,Serie A,2020,26.0,530200000
510,Atalanta BC,atalanta-bergamo,800,Serie A,2020,25.0,430000000
511,AS Roma,as-rom,12,Serie A,2020,24.6,395650000
512,SS Lazio,lazio-rom,398,Serie A,2020,25.6,326330000
513,ACF Fiorentina,ac-florenz,430,Serie A,2020,25.7,286800000
514,US Sassuolo,us-sassuolo,6574,Serie A,2020,24.9,241740000
515,Cagliari Calcio,cagliari-calcio,1390,Serie A,2020,25.4,187830000
516,Torino FC,fc-turin,416,Serie A,2020,25.4,175280000
517,Udinese Calcio,udinese-calcio,410,Serie A,2020,25.8,173000000
518,Hellas Verona,hellas-verona,276,Serie A,2020,24.2,157210000
519,Bologna FC 1909,fc-bologna,1025,Serie A,2020,24.1,153600000
520,Parma Calcio 1913,parma-calcio-1913,130,Serie A,2020,25.1,128700000
521,UC Sampdoria,sampdoria-genua,1038,Serie A,2020,26.4,127180000
522,Genoa CFC,genua-cfc,252,Serie A,2020,26.5,111930000
523,Spezia Calcio,spezia-calcio,3522,Serie A,2020,25.7,71680000
524,FC Crotone,fc-crotone,4083,Serie A,2020,26.0,52750000
525,Benevento Calcio,benevento-calcio,4171,Serie A,2020,27.4,50130000
526,Juventus FC,juventus-turin,506,Serie A,2021,25.0,642500000
527,Inter Milan,inter-mailand,46,Serie A,2021,27.2,558550000
528,AC Milan,ac-mailand,5,Serie A,2021,25.3,546950000
529,SSC Napoli,ssc-neapel,6195,Serie A,2021,25.3,477230000
530,Atalanta BC,atalanta-bergamo,800,Serie A,2021,24.5,398750000
531,AS Roma,as-rom,12,Serie A,2021,23.8,381250000
532,ACF Fiorentina,ac-florenz,430,Serie A,2021,25.4,325800000
533,SS Lazio,lazio-rom,398,Serie A,2021,27.2,264480000
534,US Sassuolo,us-sassuolo,6574,Serie A,2021,25.0,251000000
535,Torino FC,fc-turin,416,Serie A,2021,24.8,223400000
536,Bologna FC 1909,fc-bologna,1025,Serie A,2021,23.7,186200000
537,Hellas Verona,hellas-verona,276,Serie A,2021,24.7,162980000
538,Udinese Calcio,udinese-calcio,410,Serie A,2021,25.0,142300000
539,Cagliari Calcio,cagliari-calcio,1390,Serie A,2021,25.0,134530000
540,UC Sampdoria,sampdoria-genua,1038,Serie A,2021,26.2,128550000
541,FC Empoli,fc-empoli,749,Serie A,2021,24.5,126500000
542,Genoa CFC,genua-cfc,252,Serie A,2021,26.1,121280000
543,Venezia FC,venezia-fc,607,Serie A,2021,24.7,80980000
544,Spezia Calcio,spezia-calcio,3522,Serie A,2021,23.6,78500000
545,US Salernitana 1919,us-salernitana-1919,380,Serie A,2021,25.9,70560000
546,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2015,24.9,436300000
547,AS Monaco,as-monaco,162,Ligue 1,2015,23.3,227400000
548,Olympique Lyon,olympique-lyon,1041,Ligue 1,2015,25.0,166300000
549,Olympique Marseille,olympique-marseille,244,Ligue 1,2015,23.9,129500000
550,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2015,25.1,97200000
551,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2015,24.6,94150000
552,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2015,23.5,90700000
553,OGC Nice,ogc-nizza,417,Ligue 1,2015,23.4,70950000
554,LOSC Lille,losc-lille,1082,Ligue 1,2015,25.5,70800000
555,FC Lorient,fc-lorient,1158,Ligue 1,2015,24.7,58050000
556,Montpellier HSC,montpellier-hsc,969,Ligue 1,2015,25.9,44400000
557,Stade Reims,stade-reims,1421,Ligue 1,2015,25.7,42950000
558,FC Toulouse,fc-toulouse,415,Ligue 1,2015,24.1,42900000
559,FC Nantes,fc-nantes,995,Ligue 1,2015,24.8,39300000
560,SM Caen,sm-caen,1162,Ligue 1,2015,25.6,36800000
561,EA Guingamp,ea-guingamp,855,Ligue 1,2015,26.8,33500000
562,Angers SCO,sco-angers,1420,Ligue 1,2015,27.3,32350000
563,ESTAC Troyes,es-troyes-ac,1095,Ligue 1,2015,26.3,30700000
564,SC Bastia,sc-bastia,595,Ligue 1,2015,25.8,24250000
565,GFC Ajaccio,gfc-ajaccio,3558,Ligue 1,2015,25.8,18400000
566,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2016,24.5,519000000
567,AS Monaco,as-monaco,162,Ligue 1,2016,23.2,309550000
568,Olympique Lyon,olympique-lyon,1041,Ligue 1,2016,23.6,211350000
569,OGC Nice,ogc-nizza,417,Ligue 1,2016,23.5,132800000
570,Olympique Marseille,olympique-marseille,244,Ligue 1,2016,25.7,119650000
571,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2016,24.6,88900000
572,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2016,24.0,85030000
573,LOSC Lille,losc-lille,1082,Ligue 1,2016,24.6,83900000
574,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2016,25.0,80900000
575,FC Toulouse,fc-toulouse,415,Ligue 1,2016,23.9,77300000
576,FC Lorient,fc-lorient,1158,Ligue 1,2016,25.1,61100000
577,Montpellier HSC,montpellier-hsc,969,Ligue 1,2016,25.6,60950000
578,FC Nantes,fc-nantes,995,Ligue 1,2016,24.4,50900000
579,Angers SCO,sco-angers,1420,Ligue 1,2016,26.3,46080000
580,EA Guingamp,ea-guingamp,855,Ligue 1,2016,26.2,42500000
581,FC Metz,fc-metz,347,Ligue 1,2016,24.5,37550000
582,SM Caen,sm-caen,1162,Ligue 1,2016,26.1,36650000
583,SC Bastia,sc-bastia,595,Ligue 1,2016,25.1,36450000
584,AS Nancy-Lorraine,as-nancy-lorraine,1159,Ligue 1,2016,26.1,33100000
585,Dijon FCO,dijon-fco,2969,Ligue 1,2016,26.3,31200000
586,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2017,25.0,900100000
587,AS Monaco,as-monaco,162,Ligue 1,2017,23.5,529800000
588,Olympique Lyon,olympique-lyon,1041,Ligue 1,2017,23.1,363800000
589,Olympique Marseille,olympique-marseille,244,Ligue 1,2017,26.8,236800000
590,OGC Nice,ogc-nizza,417,Ligue 1,2017,23.6,204100000
591,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2017,24.1,155450000
592,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2017,24.3,131250000
593,FC Toulouse,fc-toulouse,415,Ligue 1,2017,24.5,110450000
594,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2017,24.8,106880000
595,FC Nantes,fc-nantes,995,Ligue 1,2017,24.6,105700000
596,LOSC Lille,losc-lille,1082,Ligue 1,2017,22.0,96750000
597,Montpellier HSC,montpellier-hsc,969,Ligue 1,2017,25.4,71850000
598,Dijon FCO,dijon-fco,2969,Ligue 1,2017,25.6,70300000
599,Amiens SC,amiens-sc,1416,Ligue 1,2017,27.3,69850000
600,Angers SCO,sco-angers,1420,Ligue 1,2017,26.1,69550000
601,SM Caen,sm-caen,1162,Ligue 1,2017,25.8,60100000
602,EA Guingamp,ea-guingamp,855,Ligue 1,2017,26.7,51900000
603,FC Metz,fc-metz,347,Ligue 1,2017,24.7,51200000
604,RC Strasbourg Alsace,rc-strassburg-alsace,667,Ligue 1,2017,26.3,45600000
605,ESTAC Troyes,es-troyes-ac,1095,Ligue 1,2017,26.0,45050000
606,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2018,24.9,1010000000
607,Olympique Lyon,olympique-lyon,1041,Ligue 1,2018,23.7,467950000
608,AS Monaco,as-monaco,162,Ligue 1,2018,23.4,385830000
609,LOSC Lille,losc-lille,1082,Ligue 1,2018,23.7,267550000
610,Olympique Marseille,olympique-marseille,244,Ligue 1,2018,26.1,258350000
611,OGC Nice,ogc-nizza,417,Ligue 1,2018,22.7,183200000
612,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2018,23.8,179000000
613,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2018,23.8,168450000
614,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2018,24.3,131250000
615,FC Nantes,fc-nantes,995,Ligue 1,2018,24.6,119500000
616,FC Toulouse,fc-toulouse,415,Ligue 1,2018,24.1,113250000
617,Montpellier HSC,montpellier-hsc,969,Ligue 1,2018,25.7,109850000
618,RC Strasbourg Alsace,rc-strassburg-alsace,667,Ligue 1,2018,25.2,98000000
619,Nîmes Olympique,nimes-olympique,1160,Ligue 1,2018,25.0,88150000
620,Stade Reims,stade-reims,1421,Ligue 1,2018,24.5,86950000
621,Angers SCO,sco-angers,1420,Ligue 1,2018,26.5,79700000
622,EA Guingamp,ea-guingamp,855,Ligue 1,2018,25.3,70650000
623,Amiens SC,amiens-sc,1416,Ligue 1,2018,25.4,70500000
624,SM Caen,sm-caen,1162,Ligue 1,2018,24.8,67550000
625,Dijon FCO,dijon-fco,2969,Ligue 1,2018,25.7,65800000
626,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2019,25.2,874150000
627,Olympique Lyon,olympique-lyon,1041,Ligue 1,2019,24.0,384550000
628,AS Monaco,as-monaco,162,Ligue 1,2019,25.3,331030000
629,LOSC Lille,losc-lille,1082,Ligue 1,2019,23.7,247780000
630,Olympique Marseille,olympique-marseille,244,Ligue 1,2019,24.3,216150000
631,OGC Nice,ogc-nizza,417,Ligue 1,2019,23.1,173450000
632,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2019,25.0,171880000
633,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2019,25.0,125350000
634,FC Nantes,fc-nantes,995,Ligue 1,2019,25.0,106150000
635,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2019,24.8,104830000
636,RC Strasbourg Alsace,rc-strassburg-alsace,667,Ligue 1,2019,25.7,91130000
637,Angers SCO,sco-angers,1420,Ligue 1,2019,25.9,89480000
638,Montpellier HSC,montpellier-hsc,969,Ligue 1,2019,26.2,81680000
639,Stade Reims,stade-reims,1421,Ligue 1,2019,23.7,81680000
640,FC Toulouse,fc-toulouse,415,Ligue 1,2019,23.5,71880000
641,Amiens SC,amiens-sc,1416,Ligue 1,2019,25.3,61930000
642,FC Metz,fc-metz,347,Ligue 1,2019,24.4,54100000
643,Dijon FCO,dijon-fco,2969,Ligue 1,2019,25.3,50230000
644,Nîmes Olympique,nimes-olympique,1160,Ligue 1,2019,23.8,49650000
645,Stade Brestois 29,stade-brest-29,3911,Ligue 1,2019,26.0,47780000
646,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2020,24.2,805000000
647,Olympique Lyon,olympique-lyon,1041,Ligue 1,2020,24.2,431350000
648,AS Monaco,as-monaco,162,Ligue 1,2020,24.0,370350000
649,LOSC Lille,losc-lille,1082,Ligue 1,2020,23.6,323200000
650,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2020,24.2,297500000
651,Olympique Marseille,olympique-marseille,244,Ligue 1,2020,24.9,247950000
652,OGC Nice,ogc-nizza,417,Ligue 1,2020,22.4,236100000
653,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2020,23.6,154500000
654,Montpellier HSC,montpellier-hsc,969,Ligue 1,2020,25.2,113850000
655,Angers SCO,sco-angers,1420,Ligue 1,2020,25.8,111650000
656,RC Strasbourg Alsace,rc-strassburg-alsace,667,Ligue 1,2020,25.2,109650000
657,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2020,25.4,105700000
658,Stade Reims,stade-reims,1421,Ligue 1,2020,23.1,105180000
659,RC Lens,rc-lens,826,Ligue 1,2020,24.9,104300000
660,FC Metz,fc-metz,347,Ligue 1,2020,24.6,103500000
661,Stade Brestois 29,stade-brest-29,3911,Ligue 1,2020,25.2,103230000
662,FC Nantes,fc-nantes,995,Ligue 1,2020,25.4,94750000
663,FC Lorient,fc-lorient,1158,Ligue 1,2020,26.4,72880000
664,Dijon FCO,dijon-fco,2969,Ligue 1,2020,24.3,65630000
665,Nîmes Olympique,nimes-olympique,1160,Ligue 1,2020,24.9,60400000
666,Paris Saint-Germain,fc-paris-saint-germain,583,Ligue 1,2021,25.7,875150000
667,Olympique Lyon,olympique-lyon,1041,Ligue 1,2021,24.3,397700000
668,AS Monaco,as-monaco,162,Ligue 1,2021,23.3,396000000
669,LOSC Lille,losc-lille,1082,Ligue 1,2021,24.0,306880000
670,Stade Rennais FC,fc-stade-rennes,273,Ligue 1,2021,22.9,305350000
671,Olympique Marseille,olympique-marseille,244,Ligue 1,2021,23.5,284700000
672,OGC Nice,ogc-nizza,417,Ligue 1,2021,23.8,266050000
673,RC Lens,rc-lens,826,Ligue 1,2021,24.8,154050000
674,Stade Reims,stade-reims,1421,Ligue 1,2021,23.5,149400000
675,Montpellier HSC,montpellier-hsc,969,Ligue 1,2021,24.8,144600000
676,RC Strasbourg Alsace,rc-strassburg-alsace,667,Ligue 1,2021,24.8,120050000
677,FC Girondins Bordeaux,fc-girondins-bordeaux,40,Ligue 1,2021,24.0,116850000
678,FC Nantes,fc-nantes,995,Ligue 1,2021,25.6,112650000
679,AS Saint-Étienne,as-saint-etienne,618,Ligue 1,2021,24.0,105650000
680,Stade Brestois 29,stade-brest-29,3911,Ligue 1,2021,25.5,103150000
681,FC Metz,fc-metz,347,Ligue 1,2021,25.0,91050000
682,Angers SCO,sco-angers,1420,Ligue 1,2021,25.4,89500000
683,ESTAC Troyes,es-troyes-ac,1095,Ligue 1,2021,24.6,73200000
684,FC Lorient,fc-lorient,1158,Ligue 1,2021,25.4,61300000
685,Clermont Foot 63,clermont-foot-63,3524,Ligue 1,2021,25.1,55100000
