,club_name,club_link,club_id,league,season,club_age,club_tmv
0,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,631,Premier League,2015,24.7,553500000
1,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,281,Premier League,2015,25.4,499350000
2,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,11,Premier League,2015,24.7,457850000
3,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,985,Premier League,2015,23.5,439850000
4,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2015,31,Premier League,2015,23.4,375250000
5,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2015,148,Premier League,2015,23.7,371850000
6,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2015,29,Premier League,2015,25.7,249850000
7,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2015,180,Premier League,2015,25.0,225500000
8,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2015,379,Premier League,2015,24.2,201330000
9,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2015,762,Premier League,2015,24.5,198000000
10,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2015,1003,Premier League,2015,26.9,161100000
11,Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2015,512,Premier League,2015,27.3,147000000
12,Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2015,2288,Premier League,2015,25.8,145800000
13,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2015,1010,Premier League,2015,27.4,137000000
14,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2015,873,Premier League,2015,26.6,135700000
15,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2015,405,Premier League,2015,24.5,117950000
16,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2015,1123,Premier League,2015,26.6,116900000
17,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2015,984,Premier League,2015,26.4,113100000
18,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2015,289,Premier League,2015,26.5,111250000
19,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2015,989,Premier League,2015,25.1,99900000
20,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2016,631,Premier League,2016,24.8,686700000
21,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,281,Premier League,2016,26.4,576500000
22,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2016,148,Premier League,2016,23.7,543650000
23,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2016,11,Premier League,2016,24.7,542000000
24,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2016,985,Premier League,2016,24.4,531450000
25,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2016,31,Premier League,2016,24.4,425650000
26,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2016,29,Premier League,2016,25.9,311250000
27,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2016,379,Premier League,2016,24.7,273050000
28,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2016,180,Premier League,2016,25.3,263750000
29,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2016,873,Premier League,2016,26.1,228430000
30,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2016,1003,Premier League,2016,26.6,218650000
31,Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2016,512,Premier League,2016,27.1,186000000
32,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2016,1010,Premier League,2016,26.8,175650000
33,Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2016,2288,Premier League,2016,26.9,157100000
34,Hull City,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2016,3008,Premier League,2016,26.0,135850000
35,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2016,289,Premier League,2016,25.3,132000000
36,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2016,989,Premier League,2016,24.4,131600000
37,Middlesbrough FC,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2016,641,Premier League,2016,27.3,128800000
38,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2016,984,Premier League,2016,27.3,123200000
39,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2016,1132,Premier League,2016,26.6,107180000
40,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2017,281,Premier League,2017,25.1,1010000000
41,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,631,Premier League,2017,24.7,884250000
42,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2017,31,Premier League,2017,24.9,857500000
43,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,985,Premier League,2017,26.1,849500000
44,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2017,148,Premier League,2017,24.7,829600000
45,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2017,11,Premier League,2017,24.8,694000000
46,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2017,29,Premier League,2017,24.9,381250000
47,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2017,1003,Premier League,2017,26.5,304250000
48,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2017,180,Premier League,2017,25.8,297000000
49,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2017,379,Premier League,2017,25.3,260600000
50,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2017,873,Premier League,2017,25.8,220730000
51,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2017,762,Premier League,2017,25.4,208280000
52,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2017,1010,Premier League,2017,26.8,196000000
53,Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2017,512,Premier League,2017,26.2,192450000
54,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2017,1132,Premier League,2017,27.8,169300000
55,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2017,984,Premier League,2017,26.5,165950000
56,Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2017,2288,Premier League,2017,26.3,165490000
57,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,1237,Premier League,2017,26.7,148200000
58,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2017,989,Premier League,2017,26.0,144500000
59,Huddersfield Town,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2017,1110,Premier League,2017,25.6,106050000
60,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,281,Premier League,2018,24.3,1200000000
61,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,31,Premier League,2018,24.7,1170000000
62,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,631,Premier League,2018,25.6,1170000000
63,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2018,148,Premier League,2018,25.4,898600000
64,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,985,Premier League,2018,25.3,797600000
65,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,11,Premier League,2018,24.9,659050000
66,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,29,Premier League,2018,26.0,529100000
67,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2018,1003,Premier League,2018,26.4,434100000
68,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,379,Premier League,2018,26.6,359000000
69,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,989,Premier League,2018,25.7,310000000
70,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2018,180,Premier League,2018,24.9,305400000
71,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,543,Premier League,2018,24.1,302900000
72,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2018,873,Premier League,2018,26.4,289000000
73,Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,931,Premier League,2018,25.7,254250000
74,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,762,Premier League,2018,26.0,244650000
75,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2018,1010,Premier League,2018,26.2,239100000
76,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,1132,Premier League,2018,28.1,197250000
77,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,1237,Premier League,2018,25.8,194350000
78,Huddersfield Town,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2018,1110,Premier League,2018,25.3,137450000
79,Cardiff City,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2018,603,Premier League,2018,27.3,113000000
80,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,281,Premier League,2019,25.1,1050000000
81,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,31,Premier League,2019,23.3,1000000000
82,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2019,148,Premier League,2019,24.8,806800000
83,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2019,631,Premier League,2019,24.1,705850000
84,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019,985,Premier League,2019,23.9,670450000
85,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,11,Premier League,2019,24.3,607650000
86,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,29,Premier League,2019,26.0,420550000
87,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2019,1003,Premier League,2019,25.9,411100000
88,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,543,Premier League,2019,23.1,320330000
89,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019,379,Premier League,2019,26.5,303600000
90,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2019,989,Premier League,2019,24.8,272180000
91,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,762,Premier League,2019,26.0,252480000
92,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,405,Premier League,2019,25.7,231700000
93,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2019,180,Premier League,2019,24.4,210750000
94,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,1237,Premier League,2019,24.7,200780000
95,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2019,1010,Premier League,2019,25.7,199600000
96,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019,873,Premier League,2019,26.8,189330000
97,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2019,1132,Premier League,2019,26.3,163880000
98,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2019,1123,Premier League,2019,25.5,145330000
99,Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2019,350,Premier League,2019,27.3,138600000
100,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,281,Premier League,2020,24.9,1040000000
101,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,31,Premier League,2020,24.4,969650000
102,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,631,Premier League,2020,25.2,889200000
103,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,985,Premier League,2020,24.9,770050000
104,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,148,Premier League,2020,24.6,703500000
105,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,11,Premier League,2020,24.4,619250000
106,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,29,Premier League,2020,24.7,511200000
107,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2020,1003,Premier League,2020,25.3,510700000
108,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,543,Premier League,2020,23.9,450300000
109,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2020,405,Premier League,2020,23.3,430750000
110,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2020,379,Premier League,2020,26.5,334900000
111,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,1237,Premier League,2020,24.3,290400000
112,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2020,180,Premier League,2020,24.5,282800000
113,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2020,762,Premier League,2020,26.9,255350000
114,Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2020,931,Premier League,2020,26.4,239750000
115,Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2020,399,Premier League,2020,24.5,238100000
116,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2020,873,Premier League,2020,27.7,193850000
117,Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2020,350,Premier League,2020,24.9,149850000
118,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2020,984,Premier League,2020,26.1,141150000
119,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2020,1132,Premier League,2020,26.6,132300000
120,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,281,Premier League,2021,24.3,1000000000
121,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,31,Premier League,2021,24.0,918900000
122,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,631,Premier League,2021,25.1,914500000
123,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,985,Premier League,2021,25.5,769150000
124,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,148,Premier League,2021,23.5,689350000
125,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,11,Premier League,2021,23.4,613050000
126,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,1003,Premier League,2021,25.1,526550000
127,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,405,Premier League,2021,24.2,487750000
128,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,29,Premier League,2021,25.5,479050000
129,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,543,Premier League,2021,24.4,376950000
130,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2021,379,Premier League,2021,26.0,354900000
131,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,1237,Premier League,2021,24.1,318000000
132,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,762,Premier League,2021,27.4,313900000
133,Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2021,399,Premier League,2021,23.5,299450000
134,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,180,Premier League,2021,25.1,274300000
135,Brentford FC,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2021,1148,Premier League,2021,24.3,273300000
136,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2021,873,Premier League,2021,25.9,271050000
137,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,1123,Premier League,2021,24.2,163200000
138,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2021,1010,Premier League,2021,25.8,156200000
139,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2021,1132,Premier League,2021,27.3,138050000
140,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2015,131,LaLiga,2015,25.9,726000000
141,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2015,418,LaLiga,2015,24.8,714300000
142,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2015,13,LaLiga,2015,25.4,418500000
143,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2015,1049,LaLiga,2015,23.7,254000000
144,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2015,368,LaLiga,2015,25.8,230300000
145,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2015,621,LaLiga,2015,27.0,148000000
146,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2015,1050,LaLiga,2015,25.4,140600000
147,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2015,681,LaLiga,2015,25.5,119400000
148,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2015,940,LaLiga,2015,24.6,91100000
149,Málaga CF,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2015,1084,LaLiga,2015,27.0,77950000
150,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2015,16795,LaLiga,2015,25.9,71500000
151,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2015,714,LaLiga,2015,25.0,62200000
152,Deportivo de La Coruña,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2015,897,LaLiga,2015,28.2,61750000
153,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2015,1533,LaLiga,2015,25.8,56600000
154,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2015,150,LaLiga,2015,26.9,56400000
155,Sporting Gijón,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448/saison_id/2015,2448,LaLiga,2015,24.7,53200000
156,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2015,3368,LaLiga,2015,27.3,53100000
157,Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2015,367,LaLiga,2015,28.0,49600000
158,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2015,3709,LaLiga,2015,25.7,49100000
159,UD Las Palmas,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2015,472,LaLiga,2015,27.2,32200000
160,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2016,418,LaLiga,2016,25.7,802900000
161,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2016,131,LaLiga,2016,25.8,765300000
162,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2016,13,LaLiga,2016,24.7,515800000
163,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2016,368,LaLiga,2016,25.6,270100000
