,club_name,club_link,club_id,league,season,club_age,club_tmv
164,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2016,1049,LaLiga,2016,24.9,257500000
165,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2016,1050,LaLiga,2016,25.9,190700000
166,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2016,621,LaLiga,2016,26.9,172600000
167,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2016,681,LaLiga,2016,25.8,156450000
168,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2016,940,LaLiga,2016,25.4,122400000
169,Deportivo de La Coruña,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2016,897,LaLiga,2016,26.8,94000000
170,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2016,1108,LaLiga,2016,25.3,85400000
171,Málaga CF,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2016,1084,LaLiga,2016,26.0,84300000
172,UD Las Palmas,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2016,472,LaLiga,2016,26.7,84300000
173,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2016,150,LaLiga,2016,26.3,84200000
174,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2016,714,LaLiga,2016,27.3,80800000
175,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2016,1533,LaLiga,2016,25.9,67950000
176,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2016,16795,LaLiga,2016,25.2,66450000
177,CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2016,1244,LaLiga,2016,26.1,53150000
178,Sporting Gijón,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448/saison_id/2016,2448,LaLiga,2016,25.8,46750000
179,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2016,331,LaLiga,2016,25.5,42900000
180,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2017,131,LaLiga,2017,26.3,1090000000
181,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2017,418,LaLiga,2017,24.5,955350000
182,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2017,13,LaLiga,2017,25.4,711150000
183,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2017,1049,LaLiga,2017,24.3,398050000
184,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2017,368,LaLiga,2017,26.5,253200000
185,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2017,621,LaLiga,2017,25.9,249400000
186,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2017,681,LaLiga,2017,26.3,232950000
187,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2017,1050,LaLiga,2017,25.4,220000000
188,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2017,940,LaLiga,2017,24.5,173050000
189,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2017,150,LaLiga,2017,25.9,132250000
190,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2017,714,LaLiga,2017,27.3,97800000
191,UD Las Palmas,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2017,472,LaLiga,2017,26.9,91250000
192,Girona FC,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2017,12321,LaLiga,2017,25.4,81750000
193,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2017,1108,LaLiga,2017,25.1,74800000
194,Deportivo de La Coruña,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2017,897,LaLiga,2017,26.8,66450000
195,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2017,3709,LaLiga,2017,26.6,65600000
196,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2017,3368,LaLiga,2017,25.2,61850000
197,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2017,1533,LaLiga,2017,26.8,60050000
198,CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2017,1244,LaLiga,2017,26.8,58550000
199,Málaga CF,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2017,1084,LaLiga,2017,25.8,55200000
200,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2018,131,LaLiga,2018,24.7,1160000000
201,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2018,13,LaLiga,2018,24.2,969700000
202,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2018,418,LaLiga,2018,24.7,896100000
203,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2018,1049,LaLiga,2018,24.8,499650000
204,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2018,368,LaLiga,2018,26.1,306300000
205,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2018,681,LaLiga,2018,24.1,300950000
206,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2018,150,LaLiga,2018,25.4,290750000
207,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2018,621,LaLiga,2018,26.8,234250000
208,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2018,940,LaLiga,2018,25.3,234100000
209,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2018,1050,LaLiga,2018,27.5,230650000
210,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2018,714,LaLiga,2018,26.8,174700000
211,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2018,3709,LaLiga,2018,27.3,132200000
212,CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2018,1244,LaLiga,2018,25.9,112450000
213,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2018,1108,LaLiga,2018,25.9,110800000
214,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2018,3368,LaLiga,2018,25.8,107850000
215,Girona FC,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2018,12321,LaLiga,2018,25.9,97250000
216,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2018,1533,LaLiga,2018,27.6,93900000
217,Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2018,367,LaLiga,2018,26.2,86700000
218,Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2018,366,LaLiga,2018,25.1,83000000
219,SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2018,5358,LaLiga,2018,26.7,61400000
220,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2019,131,LaLiga,2019,24.2,930280000
221,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2019,418,LaLiga,2019,25.6,913750000
222,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2019,13,LaLiga,2019,24.8,720150000
223,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2019,1049,LaLiga,2019,25.5,427800000
224,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2019,681,LaLiga,2019,24.5,347550000
225,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2019,368,LaLiga,2019,25.7,294750000
226,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2019,150,LaLiga,2019,25.0,244350000
227,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2019,621,LaLiga,2019,26.3,211750000
228,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2019,1050,LaLiga,2019,26.4,208680000
229,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2019,3709,LaLiga,2019,28.0,175450000
230,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2019,940,LaLiga,2019,24.9,167000000
231,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2019,714,LaLiga,2019,25.8,156050000
232,CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2019,1244,LaLiga,2019,25.3,109700000
233,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2019,1108,LaLiga,2019,26.1,106750000
234,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2019,3368,LaLiga,2019,26.5,90500000
235,Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2019,366,LaLiga,2019,25.6,87780000
236,RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2019,237,LaLiga,2019,26.4,64680000
237,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2019,331,LaLiga,2019,26.4,62780000
238,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2019,16795,LaLiga,2019,25.9,56580000
239,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2019,1533,LaLiga,2019,28.3,53750000
240,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,131,LaLiga,2020,25.1,813500000
241,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,418,LaLiga,2020,24.8,787300000
242,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,13,LaLiga,2020,24.9,773100000
243,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2020,368,LaLiga,2020,25.6,418250000
244,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2020,681,LaLiga,2020,24.7,406600000
245,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2020,1050,LaLiga,2020,25.9,292600000
246,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2020,1049,LaLiga,2020,24.7,278850000
247,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2020,150,LaLiga,2020,26.8,207700000
248,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2020,621,LaLiga,2020,25.9,204150000
249,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2020,3709,LaLiga,2020,25.4,170100000
250,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2020,940,LaLiga,2020,24.3,155850000
251,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2020,16795,LaLiga,2020,24.9,122650000
252,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2020,3368,LaLiga,2020,26.5,113000000
253,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2020,331,LaLiga,2020,27.0,96750000
254,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2020,1533,LaLiga,2020,27.1,83400000
255,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2020,1108,LaLiga,2020,25.6,79800000
256,SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2020,5358,LaLiga,2020,26.5,64100000
257,Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2020,366,LaLiga,2020,26.6,63350000
258,Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2020,2687,LaLiga,2020,27.2,47650000
259,Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2020,1531,LaLiga,2020,26.7,45650000
260,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,418,LaLiga,2021,25.7,770750000
261,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,131,LaLiga,2021,25.1,735600000
262,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,13,LaLiga,2021,25.3,661800000
263,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2021,1050,LaLiga,2021,26.0,408900000
264,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,368,LaLiga,2021,25.7,385000000
265,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2021,681,LaLiga,2021,24.7,376950000
266,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,1049,LaLiga,2021,23.6,310600000
267,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,150,LaLiga,2021,27.4,259000000
268,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2021,621,LaLiga,2021,25.7,226050000
269,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,3709,LaLiga,2021,25.2,208680000
270,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2021,714,LaLiga,2021,25.4,131600000
271,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2021,940,LaLiga,2021,25.5,120000000
272,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2021,331,LaLiga,2021,26.9,108450000
273,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2021,16795,LaLiga,2021,26.5,103750000
274,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2021,3368,LaLiga,2021,26.3,77900000
275,RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2021,237,LaLiga,2021,25.7,74150000
276,Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2021,1531,LaLiga,2021,27.4,72980000
277,Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2021,2687,LaLiga,2021,27.3,67800000
278,Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2021,367,LaLiga,2021,26.2,67200000
279,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2021,1108,LaLiga,2021,25.1,65350000
280,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2015,27,Bundesliga,2015,25.9,596050000
281,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2015,16,Bundesliga,2015,24.9,352950000
282,VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2015,82,Bundesliga,2015,25.5,270430000
283,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2015,15,Bundesliga,2015,24.2,241300000
284,FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2015,33,Bundesliga,2015,24.9,225200000
285,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2015,18,Bundesliga,2015,25.4,186150000
286,TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2015,533,Bundesliga,2015,24.9,90200000
287,1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2015,39,Bundesliga,2015,25.3,85150000
288,VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2015,79,Bundesliga,2015,24.8,81180000
289,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2015,44,Bundesliga,2015,25.3,78930000
290,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2015,24,Bundesliga,2015,24.9,76600000
291,FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2015,167,Bundesliga,2015,25.9,75830000
292,1.FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2015,3,Bundesliga,2015,25.0,68630000
293,SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2015,86,Bundesliga,2015,24.6,64680000
294,Hamburger SV,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2015,41,Bundesliga,2015,25.8,63200000
295,Hannover 96,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2015,42,Bundesliga,2015,24.6,60830000
296,FC Ingolstadt 04,https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795/saison_id/2015,4795,Bundesliga,2015,25.2,35650000
297,SV Darmstadt 98,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2015,105,Bundesliga,2015,27.3,25150000
298,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2016,27,Bundesliga,2016,26.1,562550000
299,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2016,16,Bundesliga,2016,25.2,390650000
300,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2016,15,Bundesliga,2016,23.8,265030000
301,FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2016,33,Bundesliga,2016,24.7,217250000
302,VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2016,82,Bundesliga,2016,24.5,203080000
303,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2016,23826,Bundesliga,2016,23.6,176330000
304,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2016,18,Bundesliga,2016,24.4,162180000
305,TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2016,533,Bundesliga,2016,24.5,138630000
306,1.FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2016,3,Bundesliga,2016,25.4,116150000
307,1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2016,39,Bundesliga,2016,24.3,96730000
308,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2016,44,Bundesliga,2016,25.0,96530000
309,SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2016,86,Bundesliga,2016,25.5,89450000
310,SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2016,60,Bundesliga,2016,25.0,86730000
311,Hamburger SV,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2016,41,Bundesliga,2016,24.6,80480000
312,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2016,24,Bundesliga,2016,24.1,72300000
313,FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2016,167,Bundesliga,2016,26.3,65850000
314,FC Ingolstadt 04,https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795/saison_id/2016,4795,Bundesliga,2016,24.8,38630000
315,SV Darmstadt 98,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2016,105,Bundesliga,2016,26.7,25980000
316,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2017,27,Bundesliga,2017,24.7,811850000
317,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2017,16,Bundesliga,2017,25.0,574200000
318,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2017,23826,Bundesliga,2017,24.1,373300000
319,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2017,15,Bundesliga,2017,25.3,357350000
320,FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2017,33,Bundesliga,2017,25.5,274350000
321,TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2017,533,Bundesliga,2017,24.1,212750000
322,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2017,18,Bundesliga,2017,24.6,193250000
323,VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2017,82,Bundesliga,2017,24.3,143600000
324,VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2017,79,Bundesliga,2017,24.7,134700000
325,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2017,44,Bundesliga,2017,24.9,131450000
326,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2017,24,Bundesliga,2017,25.0,126150000
327,SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2017,86,Bundesliga,2017,25.6,107150000
328,SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2017,60,Bundesliga,2017,25.5,100600000
329,FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2017,167,Bundesliga,2017,25.6,100450000
330,1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2017,39,Bundesliga,2017,25.3,98350000
331,Hannover 96,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2017,42,Bundesliga,2017,25.9,92950000
332,1.FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2017,3,Bundesliga,2017,24.5,91730000
333,Hamburger SV,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2017,41,Bundesliga,2017,24.5,62400000
334,Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2018,27,Bundesliga,2018,25.7,784880000
335,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2018,16,Bundesliga,2018,24.4,643250000
